id_funcionario;id_unidade;nome;cargo;departamento;salario;data_admissao
135;13;Marcos Andrade;Concierge;Governança;3987710.0;2024-05-22
136;13;Fernanda Lopes;Sommelier;Governança;2432010.0;2024-05-04
137;13;Ricardo Nunes;Sommelier;A&B;3651510.0;2025-12-07
138;13;Patrícia Melo;analista financeiro;A&B;8545890.0;2024-12-06
139;13;Bruno Cardoso;Auxiliar de Limpeza;Financeiro;9187660.0;2024-10-12
140;13;Camila Ferreira;Segurança;Governança;4710880.0;2024-09-27
141;13;Diego Ramos;analista financeiro;A&B;8932760.0;2024-03-21
142;13;Juliana Prado;Chef de Cozinha;Operações;;2024-12-03
143;13;Leonardo Vaz;Manobrista;operações;2782480.0;2024-08-26
144;13;Renata Castro;Segurança;Financeiro;8289010.0;2024-06-15
